scenario_id,event,regime,n,replicates,covered,coverage,wilson_95_lower,wilson_95_upper,mean_width,target_rate,nominal_coverage,coverage_rule_passed
S4_parity_even,any_guardrail_failure,I2,64,128,128,1.0,0.9708630437264916,1.0,0.6390753997418451,0.75,0.9,True
S4_parity_even,stack_unsafe_pass,I0,256,128,128,1.0,0.9708630437264916,1.0,0.564583334112218,0.0,0.9,True
S4_parity_even,stack_unsafe_pass,I1,256,128,128,1.0,0.9708630437264916,1.0,0.3422993261594248,0.0,0.9,True
S4_parity_even,stack_unsafe_pass,I2,256,128,128,1.0,0.9708630437264916,1.0,0.32136875455842256,0.0,0.9,True
S4_parity_even,any_guardrail_failure,I0,256,128,128,1.0,0.9708630437264916,1.0,0.5626607266903428,0.75,0.9,True
S4_parity_even,any_guardrail_failure,I1,256,128,128,1.0,0.9708630437264916,1.0,0.5277300933468276,0.75,0.9,True
S4_parity_even,any_guardrail_failure,I2,256,128,128,1.0,0.9708630437264916,1.0,0.5392232416312801,0.75,0.9,True
S4_parity_odd,stack_unsafe_pass,I0,64,128,128,1.0,0.9708630437264916,1.0,0.626481121349436,0.25,0.9,True
S4_parity_odd,stack_unsafe_pass,I1,64,128,128,1.0,0.9708630437264916,1.0,0.4372231640375998,0.25,0.9,True
S4_parity_odd,stack_unsafe_pass,I2,64,128,128,1.0,0.9708630437264916,1.0,0.4403449309918451,0.25,0.9,True
S4_parity_odd,any_guardrail_failure,I0,64,128,128,1.0,0.9708630437264916,1.0,0.629288738536936,1.0,0.9,True
S4_parity_odd,any_guardrail_failure,I1,64,128,128,1.0,0.9708630437264916,1.0,0.6329018749750996,1.0,0.9,True
S4_parity_odd,any_guardrail_failure,I2,64,128,128,1.0,0.9708630437264916,1.0,0.6356574309918451,1.0,0.9,True
S4_parity_odd,stack_unsafe_pass,I0,256,128,128,1.0,0.9708630437264916,1.0,0.565224203252843,0.25,0.9,True
S4_parity_odd,stack_unsafe_pass,I1,256,128,128,1.0,0.9708630437264916,1.0,0.3419025976437998,0.25,0.9,True
S4_parity_odd,stack_unsafe_pass,I2,256,128,128,1.0,0.9708630437264916,1.0,0.34822422330842256,0.25,0.9,True
S4_parity_odd,any_guardrail_failure,I0,256,128,128,1.0,0.9708630437264916,1.0,0.5617451993465928,1.0,0.9,True
S4_parity_odd,any_guardrail_failure,I1,256,128,128,1.0,0.9708630437264916,1.0,0.5238777767607793,1.0,0.9,True
S4_parity_odd,any_guardrail_failure,I2,256,128,128,1.0,0.9708630437264916,1.0,0.5137583632846427,1.0,0.9,True
