tpr_a,tpr_b,fpr_a,fpr_b,I1_lo,I1_hi,I0_lo,I0_hi,vbar1,vbar0,cc_hat,ci_lo,ci_hi,ci_width,D,D_lamp,bonferroni_call,bhy_call
,,0.04,0.04,,,,,,,,,,,,,hold,hold
,,0.04,0.04,,,,,,,,,,,,,hold,hold
1.0,1.0,0.04,0.04,0.0,0.6576197724933468,0.2065493143772375,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,reject,reject
1.0,1.0,0.04,0.04,0.0,0.6576197724933468,0.3423802275066532,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,reject,reject
1.0,1.0,0.04,0.04,0.0,0.6576197724933468,0.43850296824495466,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,reject,reject
1.0,1.0,0.04,0.04,0.0,0.6576197724933468,0.5101091635454028,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,reject,reject
1.0,1.0,0.04,0.04,0.0,0.6576197724933468,0.5655175352168254,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,reject,reject
0.6666666666666667,1.0,0.04,0.04,0.06149194472039624,0.7923403991979524,0.5655175352168254,1.0,0.3333333333333333,1.0,0.6666666666666667,0.0,1.0,1.0,0.6666666666666667,0.6666666666666667,hold,hold
0.5,1.0,0.04,0.04,0.15003898915214955,0.8499610108478505,0.5655175352168254,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,hold,hold
0.5,1.0,0.04,0.04,0.15003898915214955,0.8499610108478505,0.6096657120978348,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,hold,hold
0.5,1.0,0.04,0.04,0.15003898915214955,0.8499610108478505,0.6456695649333126,0.9999999999999999,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,hold,hold
0.5,1.0,0.04,0.04,0.15003898915214955,0.8499610108478505,0.6755924351161198,0.9999999999999999,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,hold,hold
0.5,1.0,0.04,0.04,0.15003898915214955,0.8499610108478505,0.7008549515804561,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,hold,hold
0.4,1.0,0.04,0.04,0.230724281276013,0.882379225767352,0.7008549515804561,1.0,0.6,1.0,0.4,0.0,0.8,0.8,0.4,0.4,hold,hold
0.4,1.0,0.04,0.04,0.230724281276013,0.882379225767352,0.7224672001371109,1.0,0.6,1.0,0.4,0.0,0.8050000000000012,0.8050000000000012,0.4,0.4,hold,hold
0.33333333333333337,1.0,0.04,0.04,0.29999331513839217,0.9032285888942195,0.7224672001371109,1.0,0.6666666666666666,1.0,0.33333333333333337,0.0,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,hold,hold
0.2857142857142857,1.0,0.04,0.04,0.3589344518326194,0.9177810759959433,0.7224672001371109,1.0,0.7142857142857143,1.0,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,hold,hold
0.25,1.0,0.04,0.04,0.409275430310169,0.9285207872478909,0.7224672001371109,1.0,0.75,1.0,0.25,0.0,0.5,0.5,0.25,0.25,hold,hold
0.33333333333333337,1.0,0.04,0.04,0.3542021355803963,0.8794161816130889,0.7224672001371109,1.0,0.6666666666666666,1.0,0.33333333333333337,0.0,0.558333333333334,0.558333333333334,0.33333333333333337,0.33333333333333337,hold,hold
0.33333333333333337,1.0,0.04,0.04,0.3542021355803963,0.8794161816130889,0.7411670330319684,1.0,0.6666666666666666,1.0,0.33333333333333337,0.0,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,hold,hold
0.4,1.0,0.04,0.04,0.31267376973365835,0.8318196702937638,0.7411670330319684,1.0,0.6,1.0,0.4,0.09999999999999998,0.7,0.6,0.4,0.4,reject,reject
0.36363636363636365,1.0,0.04,0.04,0.35380117450784904,0.8483352890463244,0.7411670330319684,1.0,0.6363636363636364,1.0,0.36363636363636365,0.09090909090909094,0.6363636363636364,0.5454545454545454,0.36363636363636365,0.36363636363636365,reject,reject
0.41666666666666663,1.0,0.04,0.04,0.31951131254954984,0.8067396863412435,0.7411670330319684,1.0,0.5833333333333334,1.0,0.41666666666666663,0.08333333333333337,0.6666666666666667,0.5833333333333334,0.41666666666666663,0.41666666666666663,reject,reject
