guardrails,num_simultaneous_rates,n_samples,delta,hoeffding_radius,target_epsilon,sample_size_for_epsilon
2,3,100,0.050000000000000003,0.15471735104347614,0.050000000000000003,958
2,3,500,0.050000000000000003,0.069191702846382139,0.050000000000000003,958
2,3,2000,0.050000000000000003,0.034595851423191069,0.050000000000000003,958
4,10,100,0.050000000000000003,0.17308183826022852,0.050000000000000003,1199
4,10,500,0.050000000000000003,0.07740455120409899,0.050000000000000003,1199
4,10,2000,0.050000000000000003,0.038702275602049495,0.050000000000000003,1199
8,36,100,0.050000000000000003,0.19068820614513693,0.050000000000000003,1455
8,36,500,0.050000000000000003,0.085278358289603853,0.050000000000000003,1455
8,36,2000,0.050000000000000003,0.042639179144801927,0.050000000000000003,1455
