rho,rho_neg,rho_pos,tpr_b_target,fpr_b_target,tpr_a_target,fpr_a_target,comp,n_samples,replicates,thr_a,thr_b,mu_a,mu_b,tpr_a,tpr_a_std,fpr_a,fpr_a_std,tpr_b,tpr_b_std,fpr_b,fpr_b_std,tpr_comp,tpr_comp_std,fpr_comp,fpr_comp_std,j_a,j_a_std,j_b,j_b_std,j_comp,j_comp_std,cc_max,cc_max_std,delta_add,delta_add_std,rho_score_neg_hat,rho_score_neg_hat_std,rho_score_pos_hat,rho_score_pos_hat_std,rho_dec_neg_hat,rho_dec_neg_hat_std,rho_dec_pos_hat,rho_dec_pos_hat_std
-0.6,-0.6,-0.6,0.6,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.6584186634454325,0.820176,0.0015585506087387618,0.079924,0.0016116078927580408,0.601024,0.001997167994936814,0.08058,0.0009281163720137696,0.437188,0.0014759810296883901,6.8e-05,3.346640106136302e-05,0.740252,0.0028910759242883935,0.520444,0.001991652580145407,0.43712,0.0015081114017207202,0.5905082842860221,0.002952447596923184,-0.4383208436,0.0016549571812712472,-0.598614268681977,0.00123249852879374,-0.6005453763886139,0.0038455692413800883,-0.08632664280147459,0.0015129656680544622,-0.2964764716750721,0.004450688816224624
-0.6,-0.6,-0.6,0.6375,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7568559052447887,0.819072,0.0013733608411484427,0.0805,0.000978570385818004,0.637776,0.0018290653350823735,0.079992,0.001607955223257165,0.47001600000000004,0.002934089296527982,0.0001,1.414213562373095e-05,0.738572,0.001846542715454976,0.5577840000000001,0.001965929805461027,0.469916,0.0029430392454060303,0.6362482775626265,0.0034021863514518114,-0.41447772039999997,0.002402049226856733,-0.5990856503032218,0.003943787004158874,-0.6006780841147801,0.002812592154367034,-0.08588447153759506,0.0010498908462487828,-0.2830297429509862,0.004795057220271544
-0.6,-0.6,-0.6,0.675,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.8588337504795123,0.820748,0.0018711814449700085,0.07902,0.0008677557259966677,0.673504,0.0018377377397223958,0.080264,0.0010482747731391808,0.50444,0.0008023714850366914,9.2e-05,4.147288270665544e-05,0.7417279999999999,0.0014930907541070584,0.59324,0.002160370338622564,0.504348,0.0008291682579549411,0.6799663852870237,0.002051511143226401,-0.39059882455999995,0.000873378137374418,-0.5992971103367044,0.0024633967507002785,-0.6003291471919752,0.002035599606582666,-0.08527275436333193,0.0011913575543082448,-0.26873874907080764,0.0020917491232532322
-0.6,-0.6,-0.6,0.7125,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.965774592184716,0.81982,0.0013738267721950797,0.080288,0.0008710453489916583,0.7123200000000001,0.002859265639985195,0.078484,0.0007650359468678608,0.5400879999999999,0.0027030945229495765,6.400000000000001e-05,4.33589667773576e-05,0.739532,0.001974467016690794,0.633836,0.00341857865201314,0.5400240000000001,0.0027136469925176385,0.7302273165372335,0.003963986625205446,-0.36460397184,0.0019962258141493633,-0.5996250804995997,0.0033000381480746024,-0.5996986467151696,0.002524391930081131,-0.08534852003050517,0.0009543126955941143,-0.2522431388874596,0.003313359998788725
-0.6,-0.6,-0.6,0.75,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.0795613105057145,0.8189160000000001,0.002477999192897386,0.080808,0.0006827298147876639,0.7511559999999999,0.0019781000985794684,0.079876,0.0008970395754926302,0.576068,0.0012293575557989712,9.2e-05,2.6832815729997476e-05,0.7381079999999999,0.0027994142244405595,0.67128,0.002544680726535285,0.575976,0.0012189667755931643,0.7803472524131994,0.0024463586355078838,-0.33793954887999994,0.0008794636865638996,-0.6005514859037187,0.002276475414591974,-0.5994887355623798,0.0029624571984780412,-0.08611418317168125,0.0004841062926647089,-0.23463068166532927,0.0013420827147515148
-0.6,-0.6,-0.6,0.7875,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.202848406434871,0.8199960000000001,0.0006317277894789773,0.079276,0.0010418637146959284,0.787568,0.0019288131065502646,0.07936399999999999,0.0016197777625341085,0.611696,0.0022548348054791073,0.000108,7.155417527999328e-05,0.7407199999999999,0.001385857135494132,0.7082040000000001,0.001611235550749793,0.611588,0.0022828315750400867,0.8256647322901458,0.0016120463149907806,-0.31275371376,0.0016364069061994206,-0.5983589751508958,0.0018631176086843487,-0.5992983199653668,0.0027818668320611756,-0.08466998064839235,0.000905645215125223,-0.21703970453856783,0.0018792472004423109
-0.6,-0.6,-0.6,0.825,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.3396608513831127,0.8198719999999999,0.0021269978843431307,0.08064,0.0014900335566691125,0.824848,0.0012190652156468078,0.07922799999999999,0.001983864914756045,0.64768,0.00215248693375823,0.00010400000000000001,2.6076809620810595e-05,0.739232,0.0019801818098346643,0.74562,0.0029420740983190762,0.647576,0.0021370259708295173,0.8685105624790406,0.0021813852141969303,-0.28608860408,0.0012849264586609797,-0.6005461830380339,0.0031833016263971728,-0.6001810772463746,0.00245144125802492,-0.08544886788676173,0.001518429797035262,-0.19573700179764292,0.0016100988978359997
-0.6,-0.6,-0.6,0.8625,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.496691927743801,0.8204,0.0014427751037497118,0.080176,0.0006501384467942187,0.8620599999999999,0.001666433316997721,0.079596,0.0007442311468891925,0.6841200000000001,0.0031615502526450615,9.6e-05,5.366563145999496e-05,0.740224,0.00199014572330771,0.782464,0.0017314387081268645,0.684024,0.0031839095464538357,0.8741895547239489,0.002611468233473065,-0.2594630468,0.0023963991952613978,-0.6000904805171585,0.0021265915437405857,-0.6015966858219911,0.0027641831999915497,-0.08551367440100086,0.0011068834988510773,-0.174614503308333,0.0035336676204072823
-0.6,-0.6,-0.6,0.9,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.6866231258542332,0.820708,0.0008753970527709236,0.08012,0.0011489125293076073,0.8996359999999999,0.0007659503900384184,0.08110799999999999,0.001504167543859394,0.7213399999999999,0.0011403508232118696,9.6e-05,4.33589667773576e-05,0.7405880000000001,0.0006165387254665975,0.8185279999999999,0.0013436963942796134,0.7212440000000001,0.0011532909433442998,0.8811494483418884,0.001980649952483176,-0.23167989008000006,0.0012711359184942436,-0.6005773115205397,0.0018865363499839304,-0.5985140402660447,0.0029276605265860594,-0.08638559200160113,0.0012072607957671305,-0.14747340978809403,0.0006885516055986607
-0.48,-0.48,-0.48,0.6,0.08,0.82,0.08,AND,50000,5,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.6584186634454325,0.819824,0.0013227547013713445,0.07932399999999999,0.0005169912958648365,0.599796,0.0013657525398109366,0.07999999999999999,0.001101271991834899,0.445852,0.0012490476372020375,0.00045599999999999997,0.00016637307474468338,0.7404999999999999,0.001649666632989828,0.5197959999999999,0.0017397930911462272,0.445396,0.0013278102274044976,0.6014823205595329,0.0021874493060642505,-0.42999170727999997,0.0011800908308819587,-0.48143646083502556,0.003406861556178116,-0.4813391774439732,0.003470882741094676,-0.08034762596562797,0.0015476605572473906,-0.24363307586912591,0.003175455545974823
