rho,rho_neg,rho_pos,tpr_b_target,fpr_b_target,tpr_a_target,fpr_a_target,comp,n_samples,replicates,thr_a,thr_b,mu_a,mu_b,tpr_a,tpr_a_std,fpr_a,fpr_a_std,tpr_b,tpr_b_std,fpr_b,fpr_b_std,tpr_comp,tpr_comp_std,fpr_comp,fpr_comp_std,j_a,j_a_std,j_b,j_b_std,j_comp,j_comp_std,cc_max,cc_max_std,delta_add,delta_add_std,rho_score_neg_hat,rho_score_neg_hat_std,rho_score_pos_hat,rho_score_pos_hat_std,rho_dec_neg_hat,rho_dec_neg_hat_std,rho_dec_pos_hat,rho_dec_pos_hat_std
-0.6,-0.6,-0.6,0.8500000000000001,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.4415049498034227,0.82085,0.0,0.0772,0.0,0.84835,0.0,0.0798,0.0,0.6711,0.0,0.0002,0.0,0.7436499999999999,0.0,0.7685500000000001,0.0,0.6709,0.0,0.872942554160432,0.0,-0.26976779249999994,0.0,-0.6043598740721957,0.0,-0.6000040595341403,0.0,-0.08241040733963656,0.0,-0.1837060660303186,0.0
-0.6,-0.6,-0.6,0.875,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.5554209406856403,0.82035,0.0,0.08075,0.0,0.8721,0.0,0.07735,0.0,0.69425,0.0,0.00015,0.0,0.7396,0.0,0.79475,0.0,0.6941,0.0,0.8733564013840831,0.0,-0.25245289999999987,0.0,-0.5971412508775265,0.0,-0.5959233579480187,0.0,-0.08375468547066052,0.0,-0.1651724605519967,0.0
-0.6,-0.6,-0.6,0.9,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.6866231258542332,0.825,0.0,0.0812,0.0,0.9002,0.0,0.07925,0.0,0.72585,0.0,0.0001,0.0,0.7438,0.0,0.82095,0.0,0.72575,0.0,0.8840367866496133,0.0,-0.22837739000000012,0.0,-0.5995497042204161,0.0,-0.6104480462076305,0.0,-0.08586070844266536,0.0,-0.14764410042980744,0.0
-0.54,-0.54,-0.54,0.6,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.6584186634454325,0.81955,0.0,0.08085,0.0,0.6022,0.0,0.07965,0.0,0.44325,0.0,0.0002,0.0,0.7387,0.0,0.52255,0.0,0.44305,0.0,0.599769865980777,0.0,-0.43219231499999994,0.0,-0.5387124396522934,0.0,-0.537161753605845,0.0,-0.08453981193210051,0.0,-0.2671482488113739,0.0
-0.54,-0.54,-0.54,0.625,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7237109242740078,0.8166,0.0,0.0761,0.0,0.62275,0.0,0.07885,0.0,0.45765,0.0,0.0003,0.0,0.7404999999999999,0.0,0.5439,0.0,0.45735,0.0,0.6176232275489534,0.0,-0.42429205,0.0,-0.5374349421690696,0.0,-0.5400240477655807,0.0,-0.07977025277420721,0.0,-0.27129172671159457,0.0
-0.54,-0.54,-0.54,0.65,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7903920267172002,0.8235,0.0,0.08025,0.0,0.64755,0.0,0.0777,0.0,0.48645,0.0,0.0003,0.0,0.74325,0.0,0.56985,0.0,0.48614999999999997,0.0,0.6540867810292633,0.0,-0.4034089875,0.0,-0.5392067626632948,0.0,-0.5378089824734138,0.0,-0.0816108289393713,0.0,-0.25699530075025334,0.0
-0.54,-0.54,-0.54,0.675,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.8588337504795123,0.81915,0.0,0.07995,0.0,0.6725,0.0,0.08245,0.0,0.50665,0.0,0.0003,0.0,0.7392000000000001,0.0,0.59005,0.0,0.5063500000000001,0.0,0.6849972943722944,0.0,-0.3867350399999999,0.0,-0.5376158764531416,0.0,-0.5384818896610719,0.0,-0.08434417796700762,0.0,-0.24485456897889576,0.0
-0.54,-0.54,-0.54,0.7,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.9294720730176733,0.81945,0.0,0.0799,0.0,0.70445,0.0,0.0776,0.0,0.53585,0.0,0.0002,0.0,0.73955,0.0,0.62685,0.0,0.5356500000000001,0.0,0.7242917990670003,0.0,-0.36716308249999996,0.0,-0.5410249728826804,0.0,-0.5346592880572401,0.0,-0.08271555898829465,0.0,-0.2359505356281829,0.0
-0.54,-0.54,-0.54,0.725,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.002831686352111,0.8202,0.0,0.08395,0.0,0.7317,0.0,0.0791,0.0,0.56065,0.0,0.00015,0.0,0.7362500000000001,0.0,0.6526000000000001,0.0,0.5605,0.0,0.7612903225806451,0.0,-0.34787325,0.0,-0.5383489839833748,0.0,-0.5420590480142253,0.0,-0.08671816034001582,0.0,-0.23209152538563907,0.0
-0.54,-0.54,-0.54,0.75,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.0795613105057145,0.81975,0.0,0.0808,0.0,0.74945,0.0,0.07825,0.0,0.57855,0.0,0.00015,0.0,0.73895,0.0,0.6711999999999999,0.0,0.5784,0.0,0.7827322552270113,0.0,-0.33576675999999983,0.0,-0.5436420337864574,0.0,-0.5496741094680165,0.0,-0.08433516520848447,0.0,-0.21499447274695463,0.0
-0.54,-0.54,-0.54,0.775,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.160486586670102,0.82225,0.0,0.0785,0.0,0.7783,0.0,0.0775,0.0,0.60715,0.0,0.0002,0.0,0.74375,0.0,0.7008,0.0,0.60695,0.0,0.8160672268907563,0.0,-0.31638,0.0,-0.5348630744134159,0.0,-0.5371601690002094,0.0,-0.0818158929117348,0.0,-0.2065883027582493,0.0
-0.54,-0.54,-0.54,0.8,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.246692793882547,0.82045,0.0,0.0811,0.0,0.7995,0.0,0.08115,0.0,0.62625,0.0,0.00045,0.0,0.73935,0.0,0.71835,0.0,0.6258,0.0,0.8464191519578008,0.0,-0.30078792749999994,0.0,-0.5360389918004731,0.0,-0.5372965099536418,0.0,-0.08225057873486526,0.0,-0.19327156897847853,0.0
-0.54,-0.54,-0.54,0.825,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.3396608513831127,0.81955,0.0,0.0857,0.0,0.8272,0.0,0.08035,0.0,0.6516,0.0,0.0003,0.0,0.73385,0.0,0.74685,0.0,0.6513,0.0,0.8720626631853785,0.0,-0.28132412750000013,0.0,-0.5383900676047123,0.0,-0.5391268292326161,0.0,-0.08655305424695592,0.0,-0.1811075625460621,0.0
-0.54,-0.54,-0.54,0.8500000000000001,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.4415049498034227,0.82235,0.0,0.08025,0.0,0.84955,0.0,0.07705,0.0,0.6749,0.0,0.0002,0.0,0.7421,0.0,0.7725000000000001,0.0,0.6747000000000001,0.0,0.8733980582524272,0.0,-0.26662775000000005,0.0,-0.5351752467125522,0.0,-0.5428018575538058,0.0,-0.08258577134249251,0.0,-0.17363985207145077,0.0
-0.54,-0.54,-0.54,0.875,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.5554209406856403,0.8231,0.0,0.0817,0.0,0.875,0.0,0.07885,0.0,0.70085,0.0,0.00015,0.0,0.7414000000000001,0.0,0.79615,0.0,0.7007,0.0,0.8801105319349368,0.0,-0.24658438999999988,0.0,-0.5427495789199859,0.0,-0.5413849927794336,0.0,-0.08523588455652713,0.0,-0.1534306696233779,0.0
-0.54,-0.54,-0.54,0.9,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.6866231258542332,0.82715,0.0,0.07795,0.0,0.89995,0.0,0.0758,0.0,0.72845,0.0,0.0001,0.0,0.7492000000000001,0.0,0.82415,0.0,0.72835,0.0,0.8837590244494328,0.0,-0.22754681999999982,0.0,-0.5425962169928324,0.0,-0.5368615173337217,0.0,-0.08185954708223521,0.0,-0.14052156619687328,0.0
-0.48,-0.48,-0.48,0.6,0.08,0.82,0.08,AND,20000,1,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.6584186634454325,0.81935,0.0,0.07765,0.0,0.59805,0.0,0.0795,0.0,0.44485,0.0,0.0002,0.0,0.7417,0.0,0.51855,0.0,0.44465000000000005,0.0,0.5995011460159094,0.0,-0.43099146500000013,0.0,-0.48508726681471104,0.0,-0.48357046654829405,0.0,-0.08250707137446917,0.0,-0.2394237688829372,0.0
