rho,rho_neg,rho_pos,tpr_b_target,fpr_b_target,tpr_a_target,fpr_a_target,comp,n_samples,replicates,thr_a,thr_b,mu_a,mu_b,tpr_a,tpr_a_std,fpr_a,fpr_a_std,tpr_b,tpr_b_std,fpr_b,fpr_b_std,tpr_comp,tpr_comp_std,fpr_comp,fpr_comp_std,j_a,j_a_std,j_b,j_b_std,j_comp,j_comp_std,cc_max,cc_max_std,delta_add,delta_add_std,rho_score_neg_hat,rho_score_neg_hat_std,rho_score_pos_hat,rho_score_pos_hat_std,rho_dec_neg_hat,rho_dec_neg_hat_std,rho_dec_pos_hat,rho_dec_pos_hat_std
-0.6,-0.6,-0.6,0.6,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.6584186634454325,0.8215,0.0004130677910464626,0.07940833333333333,0.0009887913497464084,0.6014916666666666,0.0011990447586863596,0.080175,0.0005766281297335419,0.4392583333333333,0.0014189197769195307,9.166666666666667e-05,1.443375672974065e-05,0.7420916666666667,0.001368012548675378,0.5213166666666665,0.0011342214657346012,0.43916666666666665,0.0014054210519745941,0.5917960355811707,0.0017233141915640301,-0.4373766508333334,0.0009867250305242445,-0.5989110554664085,0.004118312340663961,-0.5981593243294675,0.002596265010267914,-0.08545816620253739,0.0003794670770695059,-0.29265737200545905,0.00300896684651405
-0.6,-0.6,-0.6,0.62,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.71055234840903,0.8195166666666666,0.0022205479804168317,0.08036666666666668,0.0006251666444503689,0.6206166666666667,0.0007534642216677441,0.08119166666666666,0.0022035955466766927,0.45400833333333335,0.0019691897656989254,9.166666666666667e-05,1.443375672974065e-05,0.73915,0.0018520259177452314,0.539425,0.002895146801113965,0.4539166666666667,0.0019726779598640493,0.6141044934580924,0.0012024880972798797,-0.42594312375000004,0.001288074237199023,-0.5983921583073661,0.0017401448084336448,-0.6015519601396706,0.001073431844513315,-0.08664261683590647,0.0014778833891325724,-0.29255717280824295,0.003921798731933674
-0.6,-0.6,-0.6,0.64,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.7635303535608264,0.8203833333333334,0.00046792983804559197,0.07968333333333333,0.0009321793461203297,0.638225,0.0023343896418550033,0.08054166666666666,0.0012430640905976352,0.47095833333333337,0.0018967625927704859,6.666666666666666e-05,3.818813079129867e-05,0.7407,0.0009178779875342775,0.5576833333333334,0.0035768643157566386,0.47089166666666665,0.001934931092657669,0.6357374134944422,0.001927240615059107,-0.4144135141666667,0.0007301238774177627,-0.6005138948559147,0.00467455365400734,-0.6008984133867364,0.0029858149293428586,-0.08618687095946914,0.000782085748341701,-0.28533940151687787,0.0015612639359561624
-0.6,-0.6,-0.6,0.66,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.8175346897510374,0.8200166666666666,0.00080790366587442,0.07995833333333334,0.0009291573243177623,0.6587666666666666,0.0014222195095460034,0.07949166666666667,0.0006525590650150647,0.49023333333333335,0.0015532895201260477,6.666666666666667e-05,5.204164998665332e-05,0.7400583333333333,0.0005027010377285518,0.579275,0.001908369723088259,0.49016666666666664,0.0015383297219170576,0.6623360132824825,0.002405108909093504,-0.40046974833333343,0.0012063945807895716,-0.6004518737622265,0.0032978051012313484,-0.5979039482583922,0.0008369017182804712,-0.08571976677946926,0.0008220121010708171,-0.27432593933736754,0.0012343275735250759
-0.6,-0.6,-0.6,0.6799999999999999,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.8727703594241407,0.81875,0.0027874719729532567,0.08011666666666667,0.00018427786989579523,0.6798083333333333,0.0016096065771900611,0.08103333333333333,0.0008032486124067258,0.5089583333333333,0.002191223022271675,9.999999999999999e-05,4.330127018922193e-05,0.7386333333333334,0.002944309483280095,0.598775,0.0013040801355745637,0.5088583333333333,0.002150775054098768,0.6889199865756409,0.0018835260936289871,-0.3862770235416666,0.0014092850557783163,-0.5966311924886711,0.00246352234020929,-0.5968040575297409,0.000277953538948568,-0.08628532740008991,0.0005554199929365117,-0.2650368717034183,0.0013060462174136198
-0.6,-0.6,-0.6,0.7,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.9294720730176733,0.818,0.002286919325205833,0.080125,0.00045893899376713953,0.70155,0.0022207825197438917,0.07846666666666667,0.0008178987304876636,0.5284166666666666,0.0016312060977489327,0.0001,4.9999999999999996e-05,0.737875,0.002424999999999957,0.6230833333333333,0.003006486044094235,0.5283166666666667,0.0015821925715074378,0.7159991278948552,0.0015850058256145843,-0.3728867993749998,0.0008265786460940146,-0.6001610629021877,0.006283006860896127,-0.5980395378315673,0.003250740161918442,-0.08474931943100959,0.0011765301739576773,-0.25742120541555297,0.0037493882412217815
-0.6,-0.6,-0.6,0.72,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,1.9879130675808487,0.8203916666666666,0.0015092078496129577,0.081025,0.0018188251702678888,0.7201666666666666,0.001295263808393234,0.07909166666666667,0.00042597926397107037,0.5479583333333334,0.0025656789224946346,8.333333333333333e-05,3.818813079129867e-05,0.7393666666666667,0.0020336748347101518,0.641075,0.0017126368558454065,0.547875,0.0025796075282879436,0.741003732198292,0.0018358052908659516,-0.35857486125,0.0016007221226492867,-0.5987885600585673,0.004098047410828743,-0.6032967576555417,0.0019662398495693353,-0.08588324237393612,0.0016857243284699014,-0.24872288676066234,0.003532362509165272
-0.6,-0.6,-0.6,0.74,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.0484169657025495,0.8192583333333333,0.0023574792328530172,0.08050833333333333,0.0009291573243177546,0.740925,0.0013831576193622924,0.07970833333333334,0.002381482381487074,0.5664083333333334,0.0008322910148099102,0.00014166666666666668,0.00010103629710818452,0.73875,0.0028163584644004635,0.6612166666666667,0.0018276236848249966,0.5662666666666666,0.0009291573243177183,0.7665244044044782,0.0017648925789020631,-0.3452283545833333,0.00024676140565734665,-0.5967352815091406,0.0045811731781630165,-0.6015800767762095,0.005572546996777616,-0.08515219388215867,0.0014626990868401362,-0.24081850401450178,0.0032587250057242068
-0.6,-0.6,-0.6,0.76,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.1113741231497203,0.8181333333333334,0.0011974799928739074,0.079625,0.0014256577429383208,0.7612916666666667,0.0007571877794400166,0.07971666666666667,0.001958528359083255,0.5845333333333333,0.0009894232326630027,9.999999999999999e-05,4.9999999999999996e-05,0.7385083333333334,0.0003710907346369159,0.681575,0.002062159062730131,0.5844333333333335,0.0009501096427956695,0.7913701492232968,0.0013680932861875675,-0.3323007139583333,0.000994004040284489,-0.5995782185397883,0.0035224329569531125,-0.6015666340363323,0.0010150171308840855,-0.0852102044582604,0.0013164309228451954,-0.2329601547802633,0.00441662528393151
-0.6,-0.6,-0.6,0.78,0.08,0.82,0.08,AND,40000,3,1.4050715603096327,1.4050715603096327,2.3204366481524463,2.1772647744983176,0.82125,0.001868154169226904,0.07895,0.0004358898943540719,0.7804416666666666,0.0013661838578073633,0.08028333333333333,0.0005928392137277452,0.6060083333333334,0.0028063915146204206,8.333333333333333e-05,5.204164998665332e-05,0.7423000000000001,0.0015132745950421137,0.7001583333333333,0.0014396903602280052,0.605925,0.0027750000000000634,0.816278176496045,0.002357803199352943,-0.3168055450000001,0.002151223551394791,-0.5978616581729771,0.0018571029989524666,-0.597754211445496,0.0017852759793206732,-0.08536532634533034,0.00034707396464017545,-0.2202390739582977,0.0017634987534095984
