family,parameter_name,parameter_value,tail_side,epsilon,n,seed,miss_probability,amplification,lambda_lower,lambda_upper,lambda_relevant,d_miss_d_parameter,d_amplification_d_parameter,d2_miss_d_parameter2,max_derivative_change_parameter
student_t,rho,0.665,upper,0.01,200000,20260914,0.00381,0.381,0.36190201910896325,0.36190201910896325,0.36190201910896325,0.01168421052631577,1.1684210526315768,0.19944598337950176,0.9025
student_t,rho,0.68875,upper,0.01,200000,20260914,0.004095,0.4095,0.38115919431350104,0.38115919431350104,0.38115919431350104,0.010631578947368436,1.0631578947368432,-0.07091412742382225,0.9025
student_t,rho,0.7125,upper,0.01,200000,20260914,0.004315,0.4315,0.40159283491668907,0.40159283491668907,0.40159283491668907,0.008315789473684207,0.8315789473684205,0.10637119113573434,0.9025
student_t,rho,0.73625,upper,0.01,200000,20260914,0.00449,0.449,0.42333718324114655,0.42333718324114655,0.42333718324114655,0.015684210526315773,1.568421052631578,0.008864265927978648,0.9025
student_t,rho,0.76,upper,0.01,200000,20260914,0.00506,0.506,0.4465563558594863,0.4465563558594863,0.4465563558594863,0.008736842105263126,0.8736842105263118,-0.27700831024930633,0.9025
student_t,rho,0.7837500000000001,upper,0.01,200000,20260914,0.004905,0.49049999999999994,0.47145485984992613,0.47145485984992613,0.47145485984992613,0.002526315789473696,0.2526315789473692,0.13296398891966993,0.9025
student_t,rho,0.8075,upper,0.01,200000,20260914,0.00518,0.5179999999999999,0.49829345006110615,0.49829345006110615,0.49829345006110615,0.01505263157894736,1.5052631578947366,0.29695290858725815,0.9025
student_t,rho,0.83125,upper,0.01,200000,20260914,0.00562,0.5619999999999999,0.5274140863969348,0.5274140863969348,0.5274140863969348,0.0166315789473684,1.6631578947368428,-0.11966759002770092,0.9025
student_t,rho,0.855,upper,0.01,200000,20260914,0.00597,0.597,0.5592813530687984,0.5592813530687984,0.5592813530687984,0.00936842105263161,0.9368421052631621,-0.20831024930747882,0.9025
student_t,rho,0.87875,upper,0.01,200000,20260914,0.006065,0.6065,0.5945560025396198,0.5945560025396198,0.5945560025396198,0.00673684210526318,0.6736842105263143,0.17506925207756271,0.9025
student_t,rho,0.9025,upper,0.01,200000,20260914,0.00629,0.6289999999999999,0.6342377425991638,0.6342377425991638,0.6342377425991638,0.017684210526315775,1.7684210526315773,0.4986149584487538,0.9025
student_t,rho,0.92625,upper,0.01,200000,20260914,0.006905,0.6905,0.6799792431097914,0.6799792431097914,0.6799792431097914,0.030421052631578988,3.0421052631578984,0.363434903047093,0.9025
student_t,rho,0.95,upper,0.01,200000,20260914,0.007735,0.7735,0.734920196223464,0.734920196223464,0.734920196223464,0.03494736842105273,3.494736842105271,0.19058171745152636,0.9025
