family,parameter_name,parameter_value,tail_side,epsilon,n,seed,miss_probability,amplification,lambda_lower,lambda_upper,lambda_relevant,d_miss_d_parameter,d_amplification_d_parameter,d2_miss_d_parameter2,max_derivative_change_parameter
gaussian,rho,0.784,upper,0.01,200000,20260914,0.00359,0.359,0.0,0.0,0.0,0.018265306122449004,1.8265306122449,-0.08121615993336262,0.9555
gaussian,rho,0.8085,upper,0.01,200000,20260914,0.003935,0.3935,0.0,0.0,0.0,0.012959183673469349,1.2959183673469363,0.024989587671802815,0.9555
gaussian,rho,0.8330000000000001,upper,0.01,200000,20260914,0.004225,0.42249999999999993,0.0,0.0,0.0,0.0194897959183674,1.9489795918367374,0.029154518950438024,0.9555
gaussian,rho,0.8575,upper,0.01,200000,20260914,0.00489,0.489,0.0,0.0,0.0,0.014387755102040864,1.438775510204085,-0.20824656393169794,0.9555
gaussian,rho,0.882,upper,0.01,200000,20260914,0.00493,0.49300000000000005,0.0,0.0,0.0,0.009285714285714217,0.9285714285714217,0.14369012911286733,0.9555
gaussian,rho,0.9065000000000001,upper,0.01,200000,20260914,0.005345,0.5345,0.0,0.0,0.0,0.02142857142857145,2.1428571428571423,0.41232819658475817,0.9555
gaussian,rho,0.931,upper,0.01,200000,20260914,0.00598,0.598,0.0,0.0,0.0,0.029489795918367395,2.948979591836739,0.44773011245314537,0.9555
gaussian,rho,0.9555,upper,0.01,200000,20260914,0.00679,0.6789999999999999,0.0,0.0,0.0,0.043367346938775544,4.336734693877554,0.49354435651811823,0.9555
gaussian,rho,0.98,upper,0.01,200000,20260914,0.008105,0.8104999999999999,0.0,0.0,0.0,0.05367346938775515,5.3673469387755155,0.42065805914202525,0.9555
clayton,theta,0.0,lower,0.01,200000,20260914,0.00011,0.011,0.0,0.0,0.0,0.0040750000000000005,0.4075,0.004999999999999991,0.8
clayton,theta,0.2,lower,0.01,200000,20260914,0.000925,0.0925,0.03125,0.0,0.03125,0.005074999999999999,0.5075,0.003843749999999998,0.8
clayton,theta,0.4,lower,0.01,200000,20260914,0.00214,0.214,0.1767766952966369,0.0,0.1767766952966369,0.0056124999999999994,0.5612499999999998,0.0005000000000000004,0.8
clayton,theta,0.6000000000000001,lower,0.01,200000,20260914,0.00317,0.317,0.3149802624737183,0.0,0.3149802624737183,0.005275,0.5275000000000001,-0.0024687499999999935,0.8
clayton,theta,0.8,lower,0.01,200000,20260914,0.00425,0.42500000000000004,0.42044820762685725,0.0,0.42044820762685725,0.004625000000000002,0.46250000000000024,-0.006218749999999998,0.8
clayton,theta,1.0,lower,0.01,200000,20260914,0.00502,0.502,0.5,0.0,0.5,0.0027875000000000018,0.27875000000000005,-0.004312500000000013,0.8
clayton,theta,1.2000000000000002,lower,0.01,200000,20260914,0.005365,0.5365,0.5612310241546865,0.0,0.5612310241546865,0.002899999999999998,0.29000000000000004,-0.00040625000000000123,0.8
clayton,theta,1.4000000000000001,lower,0.01,200000,20260914,0.00618,0.618,0.6095068271022378,0.0,0.6095068271022378,0.0026250000000000023,0.26249999999999996,-0.0026249999999999937,0.8
clayton,theta,1.6,lower,0.01,200000,20260914,0.006415,0.6415,0.6484197773255048,0.0,0.6484197773255048,0.001850000000000001,0.18499999999999983,-0.00243750000000001,0.8
clayton,theta,1.8,lower,0.01,200000,20260914,0.00692,0.692,0.6803950000871885,0.0,0.6803950000871885,0.0016499999999999987,0.16500000000000004,-0.0019687500000000096,0.8
clayton,theta,2.0,lower,0.01,200000,20260914,0.007075,0.7074999999999999,0.7071067811865476,0.0,0.7071067811865476,0.0010624999999999975,0.10625000000000018,-0.0015312499999999962,0.8
clayton,theta,2.2,lower,0.01,200000,20260914,0.007345,0.7344999999999999,0.7297400528407231,0.0,0.7297400528407231,0.0010375000000000002,0.10375000000000001,-0.0009999999999999933,0.8
clayton,theta,2.4000000000000004,lower,0.01,200000,20260914,0.00749,0.749,0.7491535384383408,0.0,0.7491535384383408,0.0006624999999999999,0.06625000000000036,-0.00284375000000001,0.8
clayton,theta,2.6,lower,0.01,200000,20260914,0.00761,0.7609999999999999,0.7659831786679869,0.0,0.7659831786679869,-0.00010000000000000286,-0.010000000000000231,-0.00043749999999998564,0.8
clayton,theta,2.8000000000000003,lower,0.01,200000,20260914,0.00745,0.745,0.7807091821557102,0.0,0.7807091821557102,0.00048750000000000876,0.04875000000000096,0.004562499999999996,0.8
clayton,theta,3.0,lower,0.01,200000,20260914,0.007805,0.7805,0.7937005259840998,0.0,0.7937005259840998,0.001724999999999994,0.17249999999999965,0.0021562499999999794,0.8
clayton,theta,3.2,lower,0.01,200000,20260914,0.00814,0.814,0.8052451659746271,0.0,0.8052451659746271,0.001349999999999997,0.13500000000000023,-0.0035312499999999728,0.8
clayton,theta,3.4000000000000004,lower,0.01,200000,20260914,0.008345,0.8345,0.8155709834827751,0.0,0.8155709834827751,0.00031250000000000375,0.03125,-0.003968750000000003,0.8
clayton,theta,3.6,lower,0.01,200000,20260914,0.008265,0.8265,0.8248605943353025,0.0,0.8248605943353025,-0.00023750000000000507,-0.02375000000000016,6.24999999999954e-05,0.8
clayton,theta,3.8000000000000003,lower,0.01,200000,20260914,0.00825,0.8250000000000001,0.8332620063985445,0.0,0.8332620063985445,0.00033750000000000446,0.03374999999999995,0.00031250000000000315,0.8
clayton,theta,4.0,lower,0.01,200000,20260914,0.0084,0.84,0.8408964152537145,0.0,0.8408964152537145,-0.00011250000000000149,-0.011250000000000426,-0.001750000000000008,0.8
clayton,theta,4.2,lower,0.01,200000,20260914,0.008205,0.8205,0.8478639918775351,0.0,0.8478639918775351,-0.00036249999999999824,-0.03624999999999989,0.0017499999999999966,0.8
clayton,theta,4.4,lower,0.01,200000,20260914,0.008255,0.8255,0.8542482384182734,0.0,0.8542482384182734,0.0005874999999999977,0.05874999999999986,0.0038437499999999895,0.8
clayton,theta,4.6000000000000005,lower,0.01,200000,20260914,0.00844,0.844,0.8601193075159503,0.0,0.8601193075159503,0.001174999999999999,0.11750000000000016,0.00046875,0.8
clayton,theta,4.800000000000001,lower,0.01,200000,20260914,0.008725,0.8724999999999999,0.8655365610061431,0.0,0.8655365610061431,0.0007749999999999979,0.07749999999999968,-0.002718749999999994,0.8
clayton,theta,5.0,lower,0.01,200000,20260914,0.00875,0.8750000000000001,0.8705505632961241,0.0,0.8705505632961241,8.750000000000424e-05,0.00875000000000048,-0.002531250000000006,0.8
clayton,theta,5.2,lower,0.01,200000,20260914,0.00876,0.876,0.8752046495923036,0.0,0.8752046495923036,-0.0002375000000000016,-0.02375000000000016,0.0009374999999999826,0.8
clayton,theta,5.4,lower,0.01,200000,20260914,0.008655,0.8654999999999999,0.8795361708953764,0.0,0.8795361708953764,0.00046249999999999764,0.04624999999999968,0.0010000000000000104,0.8
clayton,theta,5.6000000000000005,lower,0.01,200000,20260914,0.008945,0.8945,0.8835774907475349,0.0,0.8835774907475349,0.00016250000000000292,0.016249999999999876,-0.0009374999999999826,0.8
clayton,theta,5.800000000000001,lower,0.01,200000,20260914,0.00872,0.872,0.8873567895155191,0.0,0.8873567895155191,8.750000000000424e-05,0.00875000000000048,9.375000000001781e-05,0.8
clayton,theta,6.0,lower,0.01,200000,20260914,0.00898,0.898,0.8908987181403393,0.0,0.8908987181403393,0.0002000000000000092,0.020000000000000906,-0.00015625000000001448,0.8
clayton,theta,6.2,lower,0.01,200000,20260914,0.0088,0.88,0.8942249331776564,0.0,0.8942249331776564,2.4999999999997247e-05,0.0024999999999999467,0.0003749999999999757,0.8
clayton,theta,6.4,lower,0.01,200000,20260914,0.00899,0.8989999999999999,0.8973545375015536,0.0,0.8973545375015536,0.0003499999999999996,0.03500000000000014,-0.002374999999999988,0.8
clayton,theta,6.6000000000000005,lower,0.01,200000,20260914,0.00894,0.894,0.9003044454968895,0.0,0.9003044454968895,-0.0009249999999999987,-0.09250000000000025,0.0003750000000000191,0.8
clayton,theta,6.800000000000001,lower,0.01,200000,20260914,0.00862,0.8619999999999999,0.90308968739698,0.0,0.90308968739698,0.0005000000000000074,0.05000000000000071,0.006156250000000028,0.8
clayton,theta,7.0,lower,0.01,200000,20260914,0.00914,0.914,0.9057236642639067,0.0,0.9057236642639067,0.001537500000000011,0.15375000000000183,9.375000000000377e-05,0.8
clayton,theta,7.2,lower,0.01,200000,20260914,0.009235,0.9235,0.9082183626944031,0.0,0.9082183626944031,0.0005374999999999998,0.053749999999999964,-0.004187500000000021,0.8
clayton,theta,7.4,lower,0.01,200000,20260914,0.009355,0.9355,0.9105845364750345,0.0,0.9105845364750345,-0.00013749999999999873,-0.013749999999999929,-0.003999999999999998,0.8
clayton,theta,7.6000000000000005,lower,0.01,200000,20260914,0.00918,0.918,0.9128318609681328,0.0,0.9128318609681328,-0.001062500000000001,-0.10624999999999973,-0.001281250000000005,0.8
clayton,theta,7.800000000000001,lower,0.01,200000,20260914,0.00893,0.893,0.9149690648834353,0.0,0.9149690648834353,-0.0006500000000000013,-0.06500000000000039,0.0025312500000000127,0.8
clayton,theta,8.0,lower,0.01,200000,20260914,0.00892,0.892,0.9170040432046712,0.0,0.9170040432046712,-4.999999999999814e-05,-0.005000000000000022,0.003000000000000026,0.8
gumbel,theta,1.0,upper,0.01,200000,20260914,0.00013,0.013,0.0,0.0,0.0,0.010657142857142855,1.0657142857142852,-0.007836734693877542,8.0
gumbel,theta,1.175,upper,0.01,200000,20260914,0.001995,0.19949999999999998,0.0,0.19616943733699665,0.19616943733699665,0.009285714285714284,0.9285714285714284,-0.013061224489795905,8.0
gumbel,theta,1.35,upper,0.01,200000,20260914,0.00338,0.338,0.0,0.3289664019395646,0.3289664019395646,0.006085714285714287,0.6085714285714288,-0.012081632653061218,8.0
gumbel,theta,1.525,upper,0.01,200000,20260914,0.004125,0.41250000000000003,0.0,0.4245786798671889,0.4245786798671889,0.005057142857142857,0.5057142857142859,-0.006693877551020421,8.0
gumbel,theta,1.7,upper,0.01,200000,20260914,0.00515,0.515,0.0,0.4965933461439451,0.4965933461439451,0.00374285714285714,0.3742857142857139,-0.007795918367346938,8.0
gumbel,theta,1.875,upper,0.01,200000,20260914,0.005435,0.5435,0.0,0.5527307625596218,0.5527307625596218,0.002328571428571428,0.23285714285714265,-0.0036326530612244704,8.0
gumbel,theta,2.05,upper,0.01,200000,20260914,0.005965,0.5964999999999999,0.0,0.5976904220725812,0.5976904220725812,0.002471428571428574,0.24714285714285755,-0.00012244897959184237,8.0
gumbel,theta,2.2249999999999996,upper,0.01,200000,20260914,0.0063,0.63,0.0,0.6344915874126804,0.6344915874126804,0.0022857142857142833,0.22857142857142865,-0.00040816326530613775,8.0
gumbel,theta,2.4,upper,0.01,200000,20260914,0.006765,0.6765,0.0,0.6651601458299656,0.6651601458299656,0.0023285714285714264,0.2328571428571422,-0.0013061224489795903,8.0
gumbel,theta,2.575,upper,0.01,200000,20260914,0.007115,0.7114999999999999,0.0,0.6911048674291802,0.6911048674291802,0.001828571428571426,0.18285714285714327,-0.0025306122448979455,8.0
gumbel,theta,2.75,upper,0.01,200000,20260914,0.007405,0.7405,0.0,0.7133351019905683,0.7133351019905683,0.001442857142857145,0.14428571428571502,-0.005224489795918366,8.0
gumbel,theta,2.925,upper,0.01,200000,20260914,0.00762,0.762,0.0,0.7325926019669577,0.7325926019669577,0.0,0.0,-0.0048163265306122634,8.0
gumbel,theta,3.0999999999999996,upper,0.01,200000,20260914,0.007405,0.7405,0.0,0.7494344803854132,0.7494344803854132,-0.00024285714285714535,-0.02428571428571491,0.0029387755102040863,8.0
gumbel,theta,3.275,upper,0.01,200000,20260914,0.007535,0.7535,0.0,0.7642871697392561,0.7642871697392561,0.0010285714285714342,0.10285714285714276,0.004122448979591824,8.0
gumbel,theta,3.4499999999999997,upper,0.01,200000,20260914,0.007765,0.7765,0.0,0.7774825378290897,0.7774825378290897,0.0011999999999999962,0.11999999999999966,-0.004040816326530621,8.0
gumbel,theta,3.625,upper,0.01,200000,20260914,0.007955,0.7955,0.0,0.7892826740382692,0.7892826740382692,-0.00038571428571428784,-0.0385714285714287,-0.000612244897959155,8.0
gumbel,theta,3.8,upper,0.01,200000,20260914,0.00763,0.7629999999999999,0.0,0.7998972804218969,0.7998972804218969,0.0009857142857142842,0.09857142857142875,0.006612244897959228,8.0
gumbel,theta,3.9749999999999996,upper,0.01,200000,20260914,0.0083,0.83,0.0,0.8094961162818377,0.8094961162818377,0.0019285714285714392,0.1928571428571444,-0.0037142857142856696,8.0
gumbel,theta,4.15,upper,0.01,200000,20260914,0.008305,0.8305,0.0,0.8182180612251622,0.8182180612251622,-0.00031428571428571833,-0.03142857142857158,-0.005673469387755084,8.0
gumbel,theta,4.324999999999999,upper,0.01,200000,20260914,0.00819,0.819,0.0,0.8261778209357096,0.8261778209357096,-5.714285714286324e-05,-0.005714285714286227,0.0025714285714285674,8.0
gumbel,theta,4.5,upper,0.01,200000,20260914,0.008285,0.8285,0.0,0.8334709604238835,0.8334709604238835,0.0005857142857142832,0.05857142857142783,-0.0026122448979592028,8.0
gumbel,theta,4.675,upper,0.01,200000,20260914,0.008395,0.8394999999999999,0.0,0.8401777314752625,0.8401777314752625,-0.0009714285714285745,-0.09714285714285698,-0.0010204081632652997,8.0
gumbel,theta,4.85,upper,0.01,200000,20260914,0.007945,0.7945000000000001,0.0,0.8463660180233499,0.8463660180233499,0.00022857142857142868,0.02285714285714313,0.00551020408163266,8.0
gumbel,theta,5.0249999999999995,upper,0.01,200000,20260914,0.008475,0.8474999999999999,0.0,0.8520936276042337,0.8520936276042337,0.0009571428571428543,0.0957142857142852,0.004612244897959148,8.0
gumbel,theta,5.199999999999999,upper,0.01,200000,20260914,0.00828,0.8279999999999998,0.0,0.8574100920672327,0.8574100920672327,0.0018428571428571287,0.18428571428571283,-0.0009795918367347064,8.0
gumbel,theta,5.375,upper,0.01,200000,20260914,0.00912,0.9119999999999999,0.0,0.8623580958220414,0.8623580958220414,0.0006142857142856957,0.06142857142856917,-0.00885714285714282,8.0
gumbel,theta,5.55,upper,0.01,200000,20260914,0.008495,0.8495,0.0,0.8669746184323375,0.8669746184323375,-0.0012571428571428594,-0.1257142857142859,0.0029387755102041405,8.0
gumbel,theta,5.725,upper,0.01,200000,20260914,0.00868,0.868,0.0,0.8712918560052947,0.8712918560052947,0.0016428571428571438,0.1642857142857146,0.004897959183673492,8.0
gumbel,theta,5.8999999999999995,upper,0.01,200000,20260914,0.00907,0.907,0.0,0.8753379697389474,0.8753379697389474,0.0004571428571428608,0.04571428571428582,-0.007306122448979584,8.0
gumbel,theta,6.074999999999999,upper,0.01,200000,20260914,0.00884,0.884,0.0,0.8791376982798484,0.8791376982798484,-0.0009142857142857078,-0.09142857142857075,-0.0019591836734694354,8.0
gumbel,theta,6.25,upper,0.01,200000,20260914,0.00875,0.8750000000000001,0.0,0.88271286192778,0.88271286192778,-0.00022857142857143214,-0.02285714285714313,0.0011020408163264913,8.0
gumbel,theta,6.425,upper,0.01,200000,20260914,0.00876,0.876,0.0,0.8860827803205786,0.8860827803205786,-0.0005285714285714303,-0.05285714285714338,0.0025714285714285787,8.0
gumbel,theta,6.6,upper,0.01,200000,20260914,0.008565,0.8564999999999999,0.0,0.889264620427274,0.889264620427274,0.0006714285714285693,0.06714285714285717,0.005959183673469401,8.0
gumbel,theta,6.7749999999999995,upper,0.01,200000,20260914,0.008995,0.8995,0.0,0.8922736880403765,0.8922736880403765,0.0015571428571428576,0.15571428571428614,-0.00555102040816321,8.0
gumbel,theta,6.949999999999999,upper,0.01,200000,20260914,0.00911,0.911,0.0,0.8951236731815126,0.8951236731815126,-0.0012714285714285518,-0.12714285714285545,-0.0020816326530612443,8.0
gumbel,theta,7.125,upper,0.01,200000,20260914,0.00855,0.855,0.0,0.8978268576983264,0.8978268576983264,0.0008285714285714459,0.08285714285714452,0.006612244897959084,8.0
gumbel,theta,7.3,upper,0.01,200000,20260914,0.0094,0.9400000000000001,0.0,0.9003942916746956,0.9003942916746956,0.0010428571428571405,0.10428571428571409,-0.005265306122449045,8.0
gumbel,theta,7.475,upper,0.01,200000,20260914,0.008915,0.8915,0.0,0.902835943983819,0.902835943983819,-0.0010142857142857176,-0.10142857142857231,0.0020000000000000295,8.0
gumbel,theta,7.6499999999999995,upper,0.01,200000,20260914,0.009045,0.9044999999999999,0.0,0.9051608312981458,0.9051608312981458,0.0017428571428571502,0.17428571428571482,0.0007346938775511045,8.0
gumbel,theta,7.824999999999999,upper,0.01,200000,20260914,0.009525,0.9525,0.0,0.9073771290670938,0.9073771290670938,-0.0007571428571428312,-0.0757142857142834,-0.017142857142857088,8.0
gumbel,theta,8.0,upper,0.01,200000,20260914,0.00878,0.8779999999999999,0.0,0.9094922673347423,0.9094922673347423,-0.004257142857142845,-0.42571428571428466,-0.019999999999999997,8.0
student_t,rho,0.0,upper,0.01,200000,20260914,0.00096,0.096,0.07558681842161238,0.07558681842161238,0.07558681842161238,0.005263157894736842,0.5263157894736841,-0.1817174515235456,0.9025
student_t,rho,0.02375,upper,0.01,200000,20260914,0.001085,0.1085,0.08074786130883758,0.08074786130883758,0.08074786130883758,0.0009473684210526342,0.09473684210526345,-0.12409972299168975,0.9025
student_t,rho,0.0475,upper,0.01,200000,20260914,0.001005,0.1005,0.0861570732580483,0.0861570732580483,0.0861570732580483,-0.0006315789473684205,-0.06315789473684186,0.04432132963988905,0.9025
student_t,rho,0.07125000000000001,upper,0.01,200000,20260914,0.001055,0.1055,0.09182363522344922,0.09182363522344922,0.09182363522344922,0.003052631578947366,0.305263157894736,0.05318559556786692,0.9025
student_t,rho,0.095,upper,0.01,200000,20260914,0.00115,0.11499999999999999,0.0977572088575085,0.0977572088575085,0.0977572088575085,0.0018947368421052616,0.18947368421052646,0.04432132963988909,0.9025
student_t,rho,0.11875,upper,0.01,200000,20260914,0.001145,0.11449999999999999,0.10396798048934836,0.10396798048934836,0.10396798048934836,0.005157894736842097,0.5157894736842095,0.046537396121883644,0.9025
student_t,rho,0.14250000000000002,upper,0.01,200000,20260914,0.001395,0.13949999999999999,0.11046671027150742,0.11046671027150742,0.11046671027150742,0.00410526315789473,0.4105263157894732,-0.06204986149584468,0.9025
student_t,rho,0.16625,upper,0.01,200000,20260914,0.00134,0.134,0.11726478728209165,0.11726478728209165,0.11726478728209165,0.0022105263157894753,0.2210526315789476,0.09750692520775639,0.9025
student_t,rho,0.19,upper,0.01,200000,20260914,0.0015,0.15,0.1243742915141366,0.1243742915141366,0.1243742915141366,0.008736842105263157,0.8736842105263158,0.06648199445983374,0.9025
student_t,rho,0.21375,upper,0.01,200000,20260914,0.001755,0.1755,0.1318080638607447,0.1318080638607447,0.1318080638607447,0.005368421052631578,0.5368421052631582,-0.2548476454293629,0.9025
student_t,rho,0.2375,upper,0.01,200000,20260914,0.001755,0.1755,0.13957978542143018,0.13957978542143018,0.13957978542143018,-0.003368421052631576,-0.33684210526315805,-0.07313019390581749,0.9025
student_t,rho,0.26125,upper,0.01,200000,20260914,0.001595,0.1595,0.14770406772275904,0.14770406772275904,0.14770406772275904,0.0018947368421052477,0.18947368421052468,0.21939058171745093,0.9025
student_t,rho,0.28500000000000003,upper,0.01,200000,20260914,0.001845,0.1845,0.15619655577874345,0.15619655577874345,0.15619655577874345,0.007052631578947352,0.7052631578947346,0.057617728531855775,0.9025
student_t,rho,0.30875,upper,0.01,200000,20260914,0.00193,0.193,0.16507404633186323,0.16507404633186323,0.16507404633186323,0.004631578947368417,0.46315789473684177,-0.008864265927977538,0.9025
student_t,rho,0.3325,upper,0.01,200000,20260914,0.002065,0.2065,0.17435462413841427,0.17435462413841427,0.17435462413841427,0.006631578947368419,0.663157894736842,0.011080332409972513,0.9025
student_t,rho,0.35625,upper,0.01,200000,20260914,0.002245,0.2245,0.18405781982477348,0.18405781982477348,0.18405781982477348,0.005157894736842111,0.5157894736842108,-0.10637119113573401,0.9025
student_t,rho,0.38,upper,0.01,200000,20260914,0.00231,0.23099999999999998,0.19420479368827506,0.19420479368827506,0.19420479368827506,0.0015789473684210548,0.1578947368421053,0.03767313019390574,0.9025
student_t,rho,0.40375,upper,0.01,200000,20260914,0.00232,0.23199999999999998,0.20481855090809842,0.20481855090809842,0.20481855090809842,0.006947368421052633,0.6947368421052635,0.04432132963988903,0.9025
student_t,rho,0.4275,upper,0.01,200000,20260914,0.00264,0.264,0.21592419505123894,0.21592419505123894,0.21592419505123894,0.003684210526315783,0.36842105263157876,-0.11745152354570654,0.9025
student_t,rho,0.45125,upper,0.01,200000,20260914,0.002495,0.24949999999999997,0.22754922862281185,0.22754922862281185,0.22754922862281185,0.0013684210526315743,0.136842105263157,0.10858725761772868,0.9025
student_t,rho,0.475,upper,0.01,200000,20260914,0.002705,0.27049999999999996,0.23972391188352968,0.23972391188352968,0.23972391188352968,0.008842105263157894,0.8842105263157896,0.08421052631578958,0.9025
student_t,rho,0.49875,upper,0.01,200000,20260914,0.002915,0.2915,0.2524816944766699,0.2524816944766699,0.2524816944766699,0.005368421052631557,0.5368421052631565,-0.07756232686980609,0.9025
student_t,rho,0.5225,upper,0.01,200000,20260914,0.00296,0.296,0.2658597389163635,0.2658597389163635,0.2658597389163635,0.0051578947368420905,0.5157894736842099,0.01329639889196696,0.9025
student_t,rho,0.54625,upper,0.01,200000,20260914,0.00316,0.316,0.279899561197226,0.279899561197226,0.279899561197226,0.0059999999999999915,0.5999999999999996,0.08421052631579039,0.9025
student_t,rho,0.5700000000000001,upper,0.01,200000,20260914,0.003245,0.3245,0.29464782245716475,0.29464782245716475,0.29464782245716475,0.009157894736842143,0.9157894736842129,0.09972299168975127,0.9025
student_t,rho,0.59375,upper,0.01,200000,20260914,0.003595,0.3595,0.3101573179326472,0.3101573179326472,0.3101573179326472,0.010736842105263183,1.0736842105263182,-0.21717451523545753,0.9025
student_t,rho,0.6175,upper,0.01,200000,20260914,0.003755,0.3755,0.3264882272217997,0.3264882272217997,0.3264882272217997,-0.0011578947368421494,-0.115789473684214,-0.20166204986149616,0.9025
student_t,rho,0.64125,upper,0.01,200000,20260914,0.00354,0.35400000000000004,0.3437097160482171,0.3437097160482171,0.3437097160482171,0.0011578947368420522,0.115789473684206,0.2703601108033239,0.9025
