p1,p2,p3,event,classical_width,improved_width,width_reduction
0.27499999999999997,0.545,0.55,or,0.44999999999999996,0.12375000000000003,0.32624999999999993
0.27499999999999997,0.5900000000000001,0.55,and,0.27499999999999997,0.11274999999999996,0.16225
0.27499999999999997,0.5900000000000001,0.55,or,0.4099999999999999,0.1127499999999999,0.29725
0.27499999999999997,0.635,0.55,and,0.27499999999999997,0.10037499999999999,0.17462499999999997
0.27499999999999997,0.635,0.55,or,0.365,0.10037499999999988,0.2646250000000001
0.27499999999999997,0.68,0.55,and,0.27499999999999997,0.08799999999999997,0.187
0.27499999999999997,0.68,0.55,or,0.31999999999999995,0.08799999999999986,0.2320000000000001
0.27499999999999997,0.725,0.55,and,0.27499999999999997,0.07562499999999998,0.19937499999999997
0.27499999999999997,0.725,0.55,or,0.275,0.07562499999999983,0.1993750000000002
0.27499999999999997,0.77,0.55,and,0.27499999999999997,0.06325,0.21174999999999997
0.27499999999999997,0.77,0.55,or,0.22999999999999998,0.06325000000000003,0.16674999999999995
0.27499999999999997,0.8150000000000001,0.55,and,0.27499999999999997,0.050874999999999976,0.224125
0.27499999999999997,0.8150000000000001,0.55,or,0.18499999999999994,0.05087499999999978,0.13412500000000016
0.27499999999999997,0.86,0.55,and,0.27499999999999997,0.038500000000000034,0.23649999999999993
0.27499999999999997,0.86,0.55,or,0.14,0.03850000000000009,0.10149999999999992
0.27499999999999997,0.905,0.55,and,0.27499999999999997,0.02612500000000001,0.24887499999999996
0.27499999999999997,0.905,0.55,or,0.09499999999999997,0.026125000000000176,0.0688749999999998
0.27499999999999997,0.95,0.55,and,0.27499999999999997,0.013749999999999984,0.26125
0.27499999999999997,0.95,0.55,or,0.050000000000000044,0.013749999999999929,0.036250000000000115
0.32,0.05,0.55,and,0.05,0.016,0.034
0.32,0.05,0.55,or,0.37,0.016000000000000014,0.354
0.32,0.095,0.55,and,0.095,0.030400000000000003,0.06459999999999999
0.32,0.095,0.55,or,0.41500000000000004,0.030400000000000205,0.38459999999999983
0.32,0.14,0.55,and,0.14,0.044800000000000006,0.0952
0.32,0.14,0.55,or,0.44999999999999996,0.04480000000000006,0.4051999999999999
0.32,0.185,0.55,and,0.185,0.0592,0.1258
0.32,0.185,0.55,or,0.44999999999999996,0.05919999999999992,0.39080000000000004
0.32,0.22999999999999998,0.55,and,0.22999999999999998,0.07360000000000001,0.15639999999999998
0.32,0.22999999999999998,0.55,or,0.44999999999999996,0.07360000000000011,0.37639999999999985
0.32,0.27499999999999997,0.55,and,0.27499999999999997,0.088,0.18699999999999997
0.32,0.27499999999999997,0.55,or,0.44999999999999996,0.08800000000000008,0.3619999999999999
0.32,0.32,0.55,and,0.32,0.1024,0.21760000000000002
0.32,0.32,0.55,or,0.44999999999999996,0.10240000000000005,0.3475999999999999
0.32,0.365,0.55,and,0.32,0.1168,0.2032
0.32,0.365,0.55,or,0.44999999999999996,0.11679999999999979,0.33320000000000016
0.32,0.41,0.55,and,0.32,0.13119999999999998,0.18880000000000002
0.32,0.41,0.55,or,0.44999999999999996,0.13119999999999998,0.3188
0.32,0.45499999999999996,0.55,and,0.32,0.144,0.17600000000000002
0.32,0.45499999999999996,0.55,or,0.44999999999999996,0.1439999999999999,0.30600000000000005
0.32,0.49999999999999994,0.55,and,0.32,0.144,0.17600000000000002
0.32,0.49999999999999994,0.55,or,0.44999999999999996,0.14400000000000013,0.3059999999999998
0.32,0.545,0.55,and,0.32,0.144,0.17600000000000002
0.32,0.545,0.55,or,0.44999999999999996,0.1439999999999999,0.30600000000000005
0.32,0.5900000000000001,0.55,and,0.32,0.13119999999999998,0.18880000000000002
0.32,0.5900000000000001,0.55,or,0.4099999999999999,0.13119999999999998,0.27879999999999994
0.32,0.635,0.55,and,0.32,0.11679999999999999,0.20320000000000002
0.32,0.635,0.55,or,0.365,0.11680000000000001,0.24819999999999998
0.32,0.68,0.55,and,0.32,0.10239999999999999,0.21760000000000002
0.32,0.68,0.55,or,0.31999999999999995,0.10239999999999982,0.21760000000000013
0.32,0.725,0.55,and,0.32,0.08800000000000002,0.23199999999999998
0.32,0.725,0.55,or,0.275,0.08799999999999986,0.18700000000000017
0.32,0.77,0.55,and,0.32,0.0736,0.2464
0.32,0.77,0.55,or,0.22999999999999998,0.07360000000000011,0.15639999999999987
0.32,0.8150000000000001,0.55,and,0.32,0.059199999999999975,0.26080000000000003
0.32,0.8150000000000001,0.55,or,0.18499999999999994,0.0591999999999997,0.12580000000000024
0.32,0.86,0.55,and,0.32,0.044800000000000006,0.2752
0.32,0.86,0.55,or,0.14,0.04479999999999995,0.09520000000000006
0.32,0.905,0.55,and,0.32,0.030399999999999983,0.2896
0.32,0.905,0.55,or,0.09499999999999997,0.030399999999999983,0.06459999999999999
0.32,0.95,0.55,and,0.32,0.016000000000000014,0.304
0.32,0.95,0.55,or,0.050000000000000044,0.016000000000000014,0.03400000000000003
0.365,0.05,0.55,and,0.05,0.01825,0.03175
0.365,0.05,0.55,or,0.41500000000000004,0.018249999999999877,0.39675000000000016
0.365,0.095,0.55,and,0.095,0.034675,0.060325000000000004
0.365,0.095,0.55,or,0.44999999999999996,0.0346749999999999,0.41532500000000006
0.365,0.14,0.55,and,0.14,0.051100000000000007,0.0889
0.365,0.14,0.55,or,0.44999999999999996,0.051100000000000034,0.3988999999999999
0.365,0.185,0.55,and,0.185,0.067525,0.117475
0.365,0.185,0.55,or,0.44999999999999996,0.06752499999999995,0.382475
0.365,0.22999999999999998,0.55,and,0.22999999999999998,0.08395,0.14604999999999999
0.365,0.22999999999999998,0.55,or,0.44999999999999996,0.08394999999999997,0.36605
0.365,0.27499999999999997,0.55,and,0.27499999999999997,0.10037499999999999,0.17462499999999997
0.365,0.27499999999999997,0.55,or,0.44999999999999996,0.1003750000000001,0.34962499999999985
0.365,0.32,0.55,and,0.32,0.1168,0.2032
0.365,0.32,0.55,or,0.44999999999999996,0.11680000000000001,0.33319999999999994
0.365,0.365,0.55,and,0.365,0.13322499999999998,0.231775
0.365,0.365,0.55,or,0.44999999999999996,0.13322500000000004,0.3167749999999999
0.365,0.41,0.55,and,0.365,0.14964999999999998,0.21535
0.365,0.41,0.55,or,0.44999999999999996,0.14964999999999995,0.30035
0.365,0.45499999999999996,0.55,and,0.365,0.16424999999999998,0.20075
0.365,0.45499999999999996,0.55,or,0.44999999999999996,0.16425,0.28574999999999995
0.365,0.49999999999999994,0.55,and,0.365,0.16424999999999998,0.20075
0.365,0.49999999999999994,0.55,or,0.44999999999999996,0.16424999999999979,0.28575000000000017
0.365,0.545,0.55,and,0.365,0.16424999999999998,0.20075
0.365,0.545,0.55,or,0.44999999999999996,0.16425,0.28574999999999995
0.365,0.5900000000000001,0.55,and,0.365,0.14964999999999998,0.21535
0.365,0.5900000000000001,0.55,or,0.4099999999999999,0.14965000000000006,0.26034999999999986
0.365,0.635,0.55,and,0.365,0.13322499999999998,0.231775
0.365,0.635,0.55,or,0.365,0.13322500000000004,0.23177499999999995
0.365,0.68,0.55,and,0.365,0.11679999999999999,0.2482
0.365,0.68,0.55,or,0.31999999999999995,0.11680000000000001,0.20319999999999994
0.365,0.725,0.55,and,0.365,0.10037499999999999,0.264625
0.365,0.725,0.55,or,0.275,0.10037499999999999,0.17462500000000003
0.365,0.77,0.55,and,0.365,0.08394999999999997,0.28105
0.365,0.77,0.55,or,0.22999999999999998,0.08394999999999997,0.14605
0.365,0.8150000000000001,0.55,and,0.365,0.067525,0.297475
0.365,0.8150000000000001,0.55,or,0.18499999999999994,0.06752500000000017,0.11747499999999977
0.365,0.86,0.55,and,0.365,0.05109999999999998,0.3139
0.365,0.86,0.55,or,0.14,0.051100000000000256,0.08889999999999976
0.365,0.905,0.55,and,0.365,0.03467500000000001,0.330325
0.365,0.905,0.55,or,0.09499999999999997,0.03467500000000001,0.06032499999999996
0.365,0.95,0.55,and,0.365,0.01824999999999999,0.34675
0.365,0.95,0.55,or,0.050000000000000044,0.01824999999999999,0.031750000000000056
0.41,0.05,0.55,and,0.05,0.0205,0.029500000000000002
0.41,0.05,0.55,or,0.44999999999999996,0.020499999999999963,0.4295
0.41,0.095,0.55,and,0.095,0.03895,0.05605
0.41,0.095,0.55,or,0.44999999999999996,0.03895000000000004,0.4110499999999999
0.41,0.14,0.55,and,0.14,0.05740000000000001,0.0826
0.41,0.14,0.55,or,0.44999999999999996,0.05740000000000012,0.39259999999999984
0.41,0.185,0.55,and,0.185,0.07585,0.10915
0.41,0.185,0.55,or,0.44999999999999996,0.07584999999999997,0.37415
0.41,0.22999999999999998,0.55,and,0.22999999999999998,0.09429999999999998,0.1357
0.41,0.22999999999999998,0.55,or,0.44999999999999996,0.09429999999999983,0.3557000000000001
0.41,0.27499999999999997,0.55,and,0.27499999999999997,0.11274999999999998,0.16225
0.41,0.27499999999999997,0.55,or,0.44999999999999996,0.11275000000000002,0.33724999999999994
0.41,0.32,0.55,and,0.32,0.13119999999999998,0.18880000000000002
0.41,0.32,0.55,or,0.44999999999999996,0.13119999999999998,0.3188
0.41,0.365,0.55,and,0.365,0.14964999999999998,0.21535
0.41,0.365,0.55,or,0.44999999999999996,0.14964999999999984,0.3003500000000001
0.41,0.41,0.55,and,0.41,0.16809999999999997,0.2419
0.41,0.41,0.55,or,0.44999999999999996,0.16810000000000014,0.2818999999999998
0.41,0.45499999999999996,0.55,and,0.41,0.18449999999999997,0.2255
